match_key,match_date,season,team_home,team_away,venue,match_result_3way,margin,form_win_rate_last3_home,form_win_rate_last5_home,form_win_rate_last10_home,avg_score_last3_home,avg_score_last5_home,avg_score_last10_home,avg_conceded_last3_home,avg_conceded_last5_home,avg_conceded_last10_home,win_streak_home,h2h_win_rate_prior_home,h2h_games_played_prior_home,venue_win_rate_prior_home,rest_days_home,season_win_rate_prior_home,ladder_rank_prior_home,is_interstate_home,is_neutral_venue_home,form_win_rate_last3_away,form_win_rate_last5_away,form_win_rate_last10_away,avg_score_last3_away,avg_score_last5_away,avg_score_last10_away,avg_conceded_last3_away,avg_conceded_last5_away,avg_conceded_last10_away,win_streak_away,h2h_win_rate_prior_away,h2h_games_played_prior_away,venue_win_rate_prior_away,rest_days_away,season_win_rate_prior_away,ladder_rank_prior_away,is_interstate_away,is_neutral_venue_away
1983_2.0_north melbourne kangaroos_vs_fitzroy lions_1983-04-04,1983-04-04,1983,north melbourne kangaroos,fitzroy lions,Waverley Park,AWAY_WIN,-45,1.0,1.0,1.0,100.0,100.0,100.0,87.0,87.0,87.0,1.0,,0.0,0.46153846153846156,9.0,1.0,1.0,0,False,0.0,0.0,0.0,112.0,112.0,112.0,131.0,131.0,131.0,0.0,,0.0,0.34782608695652173,9.0,0.0,9.0,0,False
1983_2.0_hawthorn hawks_vs_sydney swans_1983-04-04,1983-04-04,1983,hawthorn hawks,sydney swans,Princes Park,HOME_WIN,25,1.0,1.0,1.0,131.0,131.0,131.0,112.0,112.0,112.0,1.0,,0.0,0.676056338028169,9.0,1.0,1.0,0,False,1.0,1.0,1.0,111.0,111.0,111.0,110.0,110.0,110.0,1.0,,0.0,0.42857142857142855,8.0,1.0,1.0,1,False
1983_3.0_st kilda saints_vs_hawthorn hawks_1983-04-09,1983-04-09,1983,st kilda saints,hawthorn hawks,Moorabbin Oval,AWAY_WIN,-129,0.0,0.0,0.0,78.5,78.5,78.5,115.5,115.5,115.5,0.0,,0.0,0.30434782608695654,5.0,0.0,11.0,0,False,1.0,1.0,1.0,100.5,100.5,100.5,78.5,78.5,78.5,2.0,,0.0,1.0,5.0,1.0,1.0,0,False
1983_3.0_western bulldogs_vs_melbourne demons_1983-04-09,1983-04-09,1983,western bulldogs,melbourne demons,Western Oval,HOME_WIN,32,0.5,0.5,0.5,87.0,87.0,87.0,94.0,94.0,94.0,1.0,,0.0,0.6911764705882353,7.0,0.5,3.0,0,False,0.5,0.5,0.5,122.0,122.0,122.0,117.5,117.5,117.5,1.0,,0.0,1.0,7.0,0.5,3.0,0,False
1983_3.0_carlton blues_vs_collingwood magpies_1983-04-09,1983-04-09,1983,carlton blues,collingwood magpies,Waverley Park,HOME_WIN,10,0.5,0.5,0.5,109.0,109.0,109.0,87.5,87.5,87.5,0.0,,0.0,1.0,7.0,0.5,3.0,0,False,0.5,0.5,0.5,115.5,115.5,115.5,113.0,113.0,113.0,0.0,,0.0,,7.0,0.5,3.0,0,False
1983_3.0_fitzroy lions_vs_essendon bombers_1983-04-09,1983-04-09,1983,fitzroy lions,essendon bombers,Junction Oval,HOME_WIN,41,0.5,0.5,0.5,100.0,100.0,100.0,87.0,87.0,87.0,1.0,,0.0,0.5,5.0,0.5,3.0,0,False,0.5,0.5,0.5,120.5,120.5,120.5,90.5,90.5,90.5,1.0,,0.0,,5.0,0.5,3.0,0,False
1983_3.0_geelong cats_vs_richmond tigers_1983-04-09,1983-04-09,1983,geelong cats,richmond tigers,GMHBA Stadium,HOME_WIN,48,1.0,1.0,1.0,103.5,103.5,103.5,85.5,85.5,85.5,2.0,,0.0,0.6912442396313364,7.0,1.0,1.0,0,False,0.0,0.0,0.0,88.0,88.0,88.0,127.5,127.5,127.5,0.0,,0.0,,7.0,0.0,11.0,0,False
1983_3.0_sydney swans_vs_north melbourne kangaroos_1983-04-10,1983-04-10,1983,sydney swans,north melbourne kangaroos,Sydney Cricket Ground,AWAY_WIN,-140,0.5,0.5,0.5,78.0,78.0,78.0,90.0,90.0,90.0,0.0,,0.0,0.5851851851851851,6.0,0.5,6.0,0,False,0.5,0.5,0.5,71.5,71.5,71.5,87.5,87.5,87.5,0.0,,0.0,1.0,6.0,0.5,6.0,1,False
1983_4.0_melbourne demons_vs_carlton blues_1983-04-16,1983-04-16,1983,melbourne demons,carlton blues,Melbourne Cricket Ground,AWAY_WIN,-9,0.3333333333333333,0.3333333333333333,0.3333333333333333,107.66666666666667,107.66666666666667,107.66666666666667,115.33333333333333,115.33333333333333,115.33333333333333,0.0,,0.0,0.6571428571428571,7.0,0.3333333333333333,7.0,0,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,105.0,105.0,105.0,87.33333333333333,87.33333333333333,87.33333333333333,1.0,,0.0,0.43859649122807015,7.0,0.6666666666666666,3.0,0,False
1983_4.0_hawthorn hawks_vs_western bulldogs_1983-04-16,1983-04-16,1983,hawthorn hawks,western bulldogs,Princes Park,AWAY_WIN,-21,1.0,1.0,1.0,124.0,124.0,124.0,66.33333333333333,66.33333333333333,66.33333333333333,3.0,,0.0,0.6987951807228916,7.0,1.0,1.0,0,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,95.0,95.0,95.0,89.0,89.0,89.0,2.0,,0.0,0.5263157894736842,7.0,0.6666666666666666,3.0,0,False
1983_4.0_essendon bombers_vs_collingwood magpies_1983-04-16,1983-04-16,1983,essendon bombers,collingwood magpies,"Windy Hill
",HOME_WIN,24,0.3333333333333333,0.3333333333333333,0.3333333333333333,99.0,99.0,99.0,92.66666666666667,92.66666666666667,92.66666666666667,0.0,,0.0,1.0,7.0,0.3333333333333333,7.0,0,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,106.0,106.0,106.0,107.66666666666667,107.66666666666667,107.66666666666667,0.0,,0.0,,7.0,0.3333333333333333,7.0,0,False
1983_4.0_north melbourne kangaroos_vs_richmond tigers_1983-04-16,1983-04-16,1983,north melbourne kangaroos,richmond tigers,Aegis Park,HOME_WIN,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,109.33333333333333,109.33333333333333,109.33333333333333,73.33333333333333,73.33333333333333,73.33333333333333,1.0,,0.0,0.7142857142857143,6.0,0.6666666666666666,3.0,0,False,0.0,0.0,0.0,74.0,74.0,74.0,116.33333333333333,116.33333333333333,116.33333333333333,0.0,,0.0,,7.0,0.0,11.0,0,False
1983_4.0_fitzroy lions_vs_sydney swans_1983-04-16,1983-04-16,1983,fitzroy lions,sydney swans,Junction Oval,HOME_WIN,73,0.6666666666666666,0.6666666666666666,0.6666666666666666,99.0,99.0,99.0,76.66666666666667,76.66666666666667,76.66666666666667,2.0,,0.0,0.6428571428571429,7.0,0.6666666666666666,3.0,0,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,67.0,67.0,67.0,121.66666666666667,121.66666666666667,121.66666666666667,0.0,,0.0,,6.0,0.3333333333333333,7.0,0,False
1983_4.0_st kilda saints_vs_geelong cats_1983-04-16,1983-04-16,1983,st kilda saints,geelong cats,Waverley Park,AWAY_WIN,-11,0.0,0.0,0.0,66.33333333333333,66.33333333333333,66.33333333333333,134.0,134.0,134.0,0.0,,0.0,0.4583333333333333,7.0,0.0,11.0,0,False,1.0,1.0,1.0,100.33333333333333,100.33333333333333,100.33333333333333,72.33333333333333,72.33333333333333,72.33333333333333,3.0,,0.0,0.4444444444444444,7.0,1.0,1.0,0,False
1983_5.0_collingwood magpies_vs_hawthorn hawks_1983-04-23,1983-04-23,1983,collingwood magpies,hawthorn hawks,Victoria Park,AWAY_WIN,-22,0.0,0.25,0.25,100.0,108.75,108.75,113.0,116.0,116.0,0.0,,0.0,0.7435897435897436,7.0,0.25,8.0,0,False,0.6666666666666666,0.75,0.75,112.66666666666667,117.25,117.25,68.33333333333333,79.25,79.25,0.0,,0.0,,7.0,0.75,2.0,0,False
1983_5.0_carlton blues_vs_fitzroy lions_1983-04-23,1983-04-23,1983,carlton blues,fitzroy lions,Princes Park,AWAY_WIN,-60,0.6666666666666666,0.75,0.75,92.66666666666667,103.5,103.5,92.0,88.0,88.0,2.0,,0.0,0.71875,7.0,0.75,2.0,0,False,1.0,0.75,0.75,103.33333333333333,105.5,105.5,50.333333333333336,70.5,70.5,3.0,,0.0,0.7142857142857143,7.0,0.75,2.0,0,False
1983_5.0_sydney swans_vs_st kilda saints_1983-04-24,1983-04-24,1983,sydney swans,st kilda saints,Sydney Cricket Ground,HOME_WIN,23,0.0,0.25,0.25,47.333333333333336,63.25,63.25,126.66666666666667,122.5,122.5,0.0,,0.0,0.5826086956521739,8.0,0.25,8.0,0,False,0.0,0.0,0.0,63.666666666666664,69.5,69.5,130.66666666666666,123.0,123.0,0.0,,0.0,0.0,8.0,0.0,11.0,1,False
1983_5.0_richmond tigers_vs_western bulldogs_1983-04-25,1983-04-25,1983,richmond tigers,western bulldogs,Melbourne Cricket Ground,AWAY_WIN,-2,0.0,0.0,0.0,83.0,81.25,81.25,113.33333333333333,119.0,119.0,0.0,,0.0,0.48936170212765956,9.0,0.0,11.0,0,False,1.0,0.75,0.75,109.33333333333333,100.75,100.75,86.0,91.0,91.0,3.0,,0.0,0.4230769230769231,9.0,0.75,4.0,0,False
1983_5.0_geelong cats_vs_melbourne demons_1983-04-25,1983-04-25,1983,geelong cats,melbourne demons,GMHBA Stadium,AWAY_WIN,-11,1.0,1.0,1.0,95.0,97.75,97.75,73.66666666666667,74.0,74.0,4.0,,0.0,0.6643356643356644,9.0,1.0,1.0,0,False,0.3333333333333333,0.25,0.25,96.0,103.25,103.25,103.33333333333333,111.25,111.25,0.0,,0.0,,9.0,0.25,9.0,0,False
1983_5.0_essendon bombers_vs_north melbourne kangaroos_1983-04-25,1983-04-25,1983,essendon bombers,north melbourne kangaroos,Waverley Park,HOME_WIN,5,0.6666666666666666,0.5,0.5,109.33333333333333,109.5,109.5,94.66666666666667,98.75,98.75,1.0,,0.0,0.5,9.0,0.5,7.0,0,False,0.6666666666666666,0.75,0.75,118.33333333333333,113.75,113.75,78.66666666666667,80.75,80.75,2.0,,0.0,0.5,9.0,0.75,4.0,0,False
1983_6.0_collingwood magpies_vs_north melbourne kangaroos_1983-04-30,1983-04-30,1983,collingwood magpies,north melbourne kangaroos,Victoria Park,HOME_WIN,22,0.0,0.2,0.2,92.33333333333333,101.6,101.6,111.0,111.8,111.8,0.0,,0.0,0.6938775510204082,7.0,0.2,10.0,0,False,0.6666666666666666,0.6,0.6,145.0,115.6,115.6,92.0,90.2,90.2,0.0,,0.0,,5.0,0.6,5.0,0,False
1983_6.0_carlton blues_vs_geelong cats_1983-04-30,1983-04-30,1983,carlton blues,geelong cats,Princes Park,AWAY_WIN,-10,0.6666666666666666,0.6,0.6,87.0,95.8,95.8,100.66666666666667,95.4,95.4,0.0,,0.0,0.7358490566037735,7.0,0.6,5.0,0,False,0.6666666666666666,0.8,0.8,98.0,100.2,100.2,82.0,83.4,83.4,0.0,,0.0,,5.0,0.8,1.0,0,False
1983_6.0_melbourne demons_vs_sydney swans_1983-04-30,1983-04-30,1983,melbourne demons,sydney swans,Melbourne Cricket Ground,HOME_WIN,33,0.3333333333333333,0.4,0.4,96.66666666666667,106.8,106.8,106.66666666666667,111.0,111.0,1.0,,0.0,0.47344110854503463,5.0,0.4,8.0,0,False,0.3333333333333333,0.4,0.4,85.66666666666667,82.6,82.6,149.0,125.4,125.4,1.0,,0.0,0.30434782608695654,6.0,0.4,8.0,1,False
1983_6.0_hawthorn hawks_vs_richmond tigers_1983-04-30,1983-04-30,1983,hawthorn hawks,richmond tigers,Waverley Park,AWAY_WIN,-18,0.6666666666666666,0.8,0.8,121.0,112.8,112.8,77.66666666666667,78.0,78.0,1.0,,0.0,0.6886792452830188,7.0,0.8,1.0,0,False,0.0,0.0,0.0,87.66666666666667,87.8,87.8,112.33333333333333,118.4,118.4,0.0,,0.0,0.29411764705882354,5.0,0.0,11.0,0,False
1983_6.0_essendon bombers_vs_western bulldogs_1983-04-30,1983-04-30,1983,essendon bombers,western bulldogs,Windy Hill,HOME_WIN,132,0.6666666666666666,0.6,0.6,108.33333333333333,113.2,113.2,112.33333333333333,103.6,103.6,2.0,,0.0,0.7741935483870968,5.0,0.6,5.0,0,False,1.0,0.8,0.8,115.0,103.8,103.8,96.66666666666667,95.6,95.6,4.0,,0.0,,5.0,0.8,1.0,0,False
1983_6.0_st kilda saints_vs_fitzroy lions_1983-04-30,1983-04-30,1983,st kilda saints,fitzroy lions,Moorabbin Oval,AWAY_WIN,-41,0.0,0.0,0.0,86.0,83.0,83.0,140.33333333333334,130.4,130.4,0.0,,0.0,0.3125,6.0,0.0,11.0,0,False,1.0,0.8,0.8,115.66666666666667,109.4,109.4,57.666666666666664,69.4,69.4,4.0,,0.0,0.0,7.0,0.8,1.0,0,False
1983_7.0_fitzroy lions_vs_geelong cats_1983-05-07,1983-05-07,1983,fitzroy lions,geelong cats,Junction Oval,HOME_WIN,9,1.0,1.0,0.8333333333333334,131.0,115.6,115.0,73.0,63.6,74.83333333333333,5.0,,0.0,0.5,7.0,0.8333333333333334,1.0,0,False,0.6666666666666666,0.8,0.8333333333333334,98.33333333333333,98.0,99.33333333333333,95.0,85.4,83.66666666666667,1.0,,0.0,,7.0,0.8333333333333334,1.0,0,False
1983_7.0_hawthorn hawks_vs_north melbourne kangaroos_1983-05-07,1983-05-07,1983,hawthorn hawks,north melbourne kangaroos,Princes Park,AWAY_WIN,-51,0.3333333333333333,0.6,0.6666666666666666,93.33333333333333,104.2,108.66666666666667,99.0,76.8,82.66666666666667,0.0,,0.0,0.6545454545454545,7.0,0.6666666666666666,3.0,0,False,0.3333333333333333,0.4,0.5,119.33333333333333,117.2,114.33333333333333,120.33333333333333,98.8,96.83333333333333,0.0,,0.0,0.4166666666666667,7.0,0.5,6.0,0,False
1983_7.0_western bulldogs_vs_collingwood magpies_1983-05-07,1983-05-07,1983,western bulldogs,collingwood magpies,Western Oval,AWAY_WIN,-6,0.6666666666666666,0.8,0.6666666666666666,94.33333333333333,98.6,94.66666666666667,130.66666666666666,110.6,109.83333333333333,0.0,,0.0,0.75,7.0,0.6666666666666666,3.0,0,False,0.3333333333333333,0.2,0.3333333333333333,106.66666666666667,100.6,106.33333333333333,114.66666666666667,108.4,111.16666666666667,1.0,,0.0,1.0,7.0,0.3333333333333333,9.0,0,False
1983_7.0_richmond tigers_vs_essendon bombers_1983-05-07,1983-05-07,1983,richmond tigers,essendon bombers,Melbourne Cricket Ground,AWAY_WIN,-25,0.3333333333333333,0.2,0.16666666666666666,107.66666666666667,93.8,90.83333333333333,110.33333333333333,108.8,113.33333333333333,1.0,,0.0,0.5441176470588235,7.0,0.16666666666666666,11.0,0,False,1.0,0.8,0.6666666666666666,150.0,127.4,124.5,96.33333333333333,91.2,94.5,3.0,,0.0,0.5232558139534884,7.0,0.6666666666666666,3.0,0,False
1983_7.0_melbourne demons_vs_st kilda saints_1983-05-07,1983-05-07,1983,melbourne demons,st kilda saints,Waverley Park,HOME_WIN,33,0.6666666666666666,0.6,0.5,112.33333333333333,107.0,110.0,100.66666666666667,102.6,108.0,2.0,,0.0,0.45714285714285713,7.0,0.5,6.0,0,False,0.0,0.0,0.0,106.0,86.0,86.16666666666667,131.0,139.0,132.5,0.0,,0.0,0.4225352112676056,7.0,0.0,12.0,0,False
1983_7.0_sydney swans_vs_carlton blues_1983-05-08,1983-05-08,1983,sydney swans,carlton blues,"Sydney Cricket Ground
",AWAY_WIN,-31,0.3333333333333333,0.2,0.3333333333333333,101.66666666666667,79.0,84.33333333333333,129.33333333333334,128.6,125.5,0.0,,0.0,0.0,8.0,0.3333333333333333,10.0,0,False,0.3333333333333333,0.4,0.5,83.0,85.6,94.0,103.33333333333333,99.2,95.33333333333333,0.0,,0.0,,8.0,0.5,8.0,1,False
1983_8.0_melbourne demons_vs_fitzroy lions_1983-05-14,1983-05-14,1983,melbourne demons,fitzroy lions,Melbourne Cricket Ground,AWAY_WIN,-39,1.0,0.6,0.5714285714285714,118.33333333333333,104.8,109.71428571428571,92.66666666666667,97.6,103.28571428571429,3.0,,0.0,0.45121951219512196,7.0,0.5714285714285714,4.0,0,False,1.0,1.0,0.8571428571428571,114.66666666666667,113.2,109.42857142857143,78.0,68.4,73.71428571428571,6.0,,0.0,0.125,7.0,0.8571428571428571,1.0,0,False
1983_8.0_collingwood magpies_vs_richmond tigers_1983-05-14,1983-05-14,1983,collingwood magpies,richmond tigers,Waverley Park,HOME_WIN,48,0.6666666666666666,0.4,0.42857142857142855,97.0,99.0,103.71428571428571,95.0,104.6,107.0,2.0,,0.0,0.4074074074074074,7.0,0.42857142857142855,9.0,0,False,0.3333333333333333,0.2,0.14285714285714285,110.66666666666667,96.2,93.85714285714286,113.66666666666667,112.4,116.71428571428571,0.0,,0.0,0.25,7.0,0.14285714285714285,11.0,0,False
1983_8.0_hawthorn hawks_vs_essendon bombers_1983-05-14,1983-05-14,1983,hawthorn hawks,essendon bombers,Princes Park,HOME_WIN,42,0.3333333333333333,0.4,0.5714285714285714,91.33333333333333,108.4,106.14285714285714,107.0,96.2,91.14285714285714,0.0,,0.0,0.6428571428571429,7.0,0.5714285714285714,4.0,0,False,1.0,0.8,0.7142857142857143,148.66666666666666,128.6,126.28571428571429,94.66666666666667,99.6,97.0,4.0,,0.0,0.6153846153846154,7.0,0.7142857142857143,2.0,0,False
1983_8.0_geelong cats_vs_sydney swans_1983-05-14,1983-05-14,1983,geelong cats,sydney swans,GMHBA Stadium,AWAY_WIN,-26,0.3333333333333333,0.6,0.7142857142857143,90.66666666666667,91.2,94.71428571428571,94.0,81.4,82.57142857142857,0.0,,0.0,0.7293233082706767,7.0,0.7142857142857143,2.0,0,False,0.3333333333333333,0.2,0.2857142857142857,123.66666666666667,93.6,89.14285714285714,137.33333333333334,144.4,128.85714285714286,0.0,,0.0,,6.0,0.2857142857142857,10.0,1,False
1983_8.0_st kilda saints_vs_carlton blues_1983-05-14,1983-05-14,1983,st kilda saints,carlton blues,Moorabbin Oval,AWAY_WIN,-56,0.0,0.0,0.0,104.66666666666667,87.0,84.57142857142857,137.0,134.4,129.0,0.0,,0.0,1.0,7.0,0.0,12.0,0,False,0.3333333333333333,0.6,0.5714285714285714,99.66666666666667,99.0,101.85714285714286,112.66666666666667,103.0,98.57142857142857,1.0,,0.0,,6.0,0.5714285714285714,4.0,0,False
1983_8.0_north melbourne kangaroos_vs_western bulldogs_1983-05-14,1983-05-14,1983,north melbourne kangaroos,western bulldogs,Aegis Park,HOME_WIN,115,0.3333333333333333,0.6,0.5714285714285714,124.33333333333333,137.0,118.28571428571429,116.33333333333333,99.4,96.0,1.0,,0.0,0.6923076923076923,7.0,0.5714285714285714,4.0,0,False,0.3333333333333333,0.6,0.5714285714285714,82.33333333333333,95.2,92.85714285714286,127.66666666666667,111.8,106.71428571428571,0.0,,0.0,,7.0,0.5714285714285714,4.0,0,False
1983_9.0_fitzroy lions_vs_western bulldogs_1983-05-21,1983-05-21,1983,fitzroy lions,western bulldogs,Waverley Park,AWAY_WIN,-46,1.0,1.0,0.875,115.0,119.0,111.5,85.33333333333333,74.6,75.375,7.0,,0.0,0.3888888888888889,7.0,0.875,1.0,0,False,0.0,0.4,0.5,68.33333333333333,87.8,90.5,152.66666666666666,133.8,117.0,0.0,,0.0,0.2857142857142857,7.0,0.5,7.0,0,False
1983_9.0_geelong cats_vs_north melbourne kangaroos_1983-05-21,1983-05-21,1983,geelong cats,north melbourne kangaroos,GMHBA Stadium,AWAY_WIN,-40,0.3333333333333333,0.4,0.625,82.0,89.2,93.375,90.33333333333333,94.2,86.0,0.0,,0.0,0.6878612716763006,7.0,0.625,2.0,0,False,0.6666666666666666,0.6,0.625,146.33333333333334,137.8,127.125,98.33333333333333,105.2,93.25,2.0,,0.0,,7.0,0.625,2.0,0,False
1983_9.0_essendon bombers_vs_melbourne demons_1983-05-21,1983-05-21,1983,essendon bombers,melbourne demons,Windy Hill,HOME_WIN,34,0.6666666666666666,0.8,0.625,137.66666666666666,136.4,122.375,99.33333333333333,107.6,102.0,0.0,,0.0,0.7307692307692307,7.0,0.625,2.0,0,False,0.6666666666666666,0.6,0.5,107.0,106.4,106.875,98.0,100.6,106.125,0.0,,0.0,,7.0,0.5,7.0,0,False
1983_9.0_carlton blues_vs_hawthorn hawks_1983-05-21,1983-05-21,1983,carlton blues,hawthorn hawks,Princes Park,HOME_WIN,8,0.6666666666666666,0.6,0.625,126.33333333333333,108.6,107.25,100.66666666666667,103.4,97.375,2.0,,0.0,0.7272727272727273,7.0,0.625,2.0,0,False,0.3333333333333333,0.4,0.625,105.33333333333333,101.6,110.0,114.33333333333333,106.8,91.625,1.0,,0.0,1.0,7.0,0.625,2.0,0,False
1983_9.0_st kilda saints_vs_richmond tigers_1983-05-21,1983-05-21,1983,st kilda saints,richmond tigers,Moorabbin Oval,HOME_WIN,15,0.0,0.0,0.0,88.66666666666667,96.4,85.125,132.0,129.2,131.0,0.0,,0.0,0.2972972972972973,7.0,0.0,12.0,0,False,0.3333333333333333,0.2,0.125,92.33333333333333,98.8,89.5,110.66666666666667,115.0,115.5,0.0,,0.0,,7.0,0.125,11.0,0,False
1983_9.0_sydney swans_vs_collingwood magpies_1983-05-22,1983-05-22,1983,sydney swans,collingwood magpies,Sydney Cricket Ground,HOME_WIN,21,0.3333333333333333,0.4,0.375,107.0,106.6,91.75,119.66666666666667,124.2,123.25,1.0,,0.0,0.5945945945945946,8.0,0.375,10.0,0,False,1.0,0.6,0.5,108.33333333333333,103.0,104.125,83.0,97.0,101.0,3.0,,0.0,1.0,8.0,0.5,8.0,1,False
1983_10.0_collingwood magpies_vs_fitzroy lions_1983-05-28,1983-05-28,1983,collingwood magpies,fitzroy lions,Victoria Park,AWAY_WIN,-16,0.6666666666666666,0.6,0.4444444444444444,98.33333333333333,99.6,103.66666666666667,87.33333333333333,93.0,103.22222222222223,0.0,,0.0,0.75,6.0,0.4444444444444444,8.0,0,False,0.6666666666666666,0.8,0.7777777777777778,100.33333333333333,113.8,110.11111111111111,99.66666666666667,93.2,83.11111111111111,0.0,,0.0,,7.0,0.7777777777777778,1.0,0,False
1983_10.0_western bulldogs_vs_st kilda saints_1983-05-28,1983-05-28,1983,western bulldogs,st kilda saints,Western Oval,HOME_WIN,46,0.3333333333333333,0.4,0.5555555555555556,100.33333333333333,93.2,96.55555555555556,125.33333333333333,134.2,115.0,1.0,,0.0,0.648936170212766,7.0,0.5555555555555556,5.0,0,False,0.3333333333333333,0.2,0.1111111111111111,90.66666666666667,102.2,87.66666666666667,115.33333333333333,129.8,126.77777777777777,1.0,,0.0,1.0,7.0,0.1111111111111111,11.0,0,False
1983_10.0_north melbourne kangaroos_vs_carlton blues_1983-05-28,1983-05-28,1983,north melbourne kangaroos,carlton blues,Aegis Park,HOME_WIN,111,1.0,0.6,0.6666666666666666,151.66666666666666,137.2,126.77777777777777,83.0,101.4,92.22222222222223,3.0,,0.0,,7.0,0.6666666666666666,2.0,0,False,1.0,0.6,0.6666666666666666,132.66666666666666,109.6,106.88888888888889,101.0,104.6,97.22222222222223,3.0,,0.0,,7.0,0.6666666666666666,2.0,0,False
1983_10.0_richmond tigers_vs_sydney swans_1983-05-28,1983-05-28,1983,richmond tigers,sydney swans,Melbourne Cricket Ground,HOME_WIN,12,0.0,0.2,0.1111111111111111,88.0,96.8,89.88888888888889,117.33333333333333,111.2,114.66666666666667,0.0,,0.0,0.4812206572769953,7.0,0.1111111111111111,11.0,0,False,0.6666666666666666,0.6,0.4444444444444444,116.33333333333333,120.4,95.0,111.0,119.2,120.66666666666667,2.0,,0.0,0.39325842696629215,6.0,0.4444444444444444,8.0,1,False
